StudentId,Target
521,female
737,female
740,male
660,male
411,male
678,male
626,male
513,female
859,male
136,male
811,male
76,male
636,female
973,female
938,male
899,female
280,male
883,male
761,female
319,female
549,male
174,female
371,female
527,female
210,male
235,male
101,male
986,female
902,female
947,female
346,male
139,male
621,male
499,male
370,male
198,female
687,male
584,female
901,female
59,female
328,male
96,male
312,male
974,female
299,male
277,female
924,male
601,female
439,male
837,female
570,male
879,female
261,male
578,female
23,female
30,female
617,male
10,male
221,male
820,female
296,male
54,female
542,female
209,female
604,male
692,female
662,female
866,male
70,female
543,female
107,male
493,female
590,male
741,female
292,male
289,male
652,female
39,male
589,female
307,male
679,male
66,male
275,male
67,female
318,male
548,female
998,female
714,female
753,female
327,male
382,male
451,female
522,male
218,male
787,female
436,male
764,male
88,female
63,female
826,female
716,male
351,male
936,male
256,female
635,male
644,male
554,male
959,male
168,female
917,female
528,female
823,female
985,male
816,female
86,female
432,male
184,male
978,male
534,male
294,male
892,female
425,female
713,male
260,female
237,female
559,male
583,female
445,female
867,male
800,male
599,female
849,male
265,male
995,female
529,female
55,female
120,female
215,male
25,male
72,female
44,female
247,female
721,male
281,male
893,male
914,female
810,male
244,male
822,male
321,female
643,female
158,female
977,male
429,male
941,female
462,female
309,female
697,female
60,male
884,female
595,female
767,male
649,female
650,male
865,male
668,male
298,male
689,male
314,female
310,female
361,male
479,male
110,female
989,female
486,male
363,female
254,male
259,female
802,female
677,female
494,female
670,female
377,female
526,male
845,male
137,male
355,female
365,male
942,male
749,male
948,male
829,male
656,male
199,female
213,male
408,female
332,male
208,female
613,female
78,female
