race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,StudentId,Target
group D,master's degree,standard,none,62,70,75,29,female
group C,bachelor's degree,free/reduced,completed,66,83,83,535,female
group D,some college,free/reduced,none,79,89,86,695,female
group C,master's degree,free/reduced,none,61,67,66,557,male
group E,high school,standard,none,73,64,57,836,male
group B,high school,free/reduced,none,30,24,15,596,male
group C,bachelor's degree,standard,completed,96,100,100,165,female
group C,associate's degree,standard,completed,57,77,80,918,female
group D,high school,standard,completed,68,64,66,495,male
group C,some high school,free/reduced,none,48,58,52,824,female
group B,some high school,standard,none,67,64,61,65,male
group C,some college,free/reduced,none,59,62,64,141,female
group E,some high school,standard,completed,74,64,60,925,male
group C,some high school,standard,none,65,69,76,827,female
group B,some college,standard,none,62,67,67,655,female
group C,associate's degree,standard,none,47,37,35,331,male
group D,associate's degree,standard,none,80,63,63,664,male
group C,high school,standard,none,68,60,53,249,male
group D,some college,standard,completed,79,84,91,907,female
group D,high school,standard,none,89,87,79,708,male
group A,some college,standard,none,69,67,69,305,male
group E,some college,free/reduced,none,53,58,57,734,female
group C,some college,standard,completed,64,82,77,975,female
group C,high school,standard,completed,82,84,82,49,male
group B,high school,free/reduced,none,36,29,27,896,male
group B,master's degree,standard,none,90,95,93,2,female
group D,master's degree,standard,none,64,63,66,544,female
group B,bachelor's degree,standard,none,52,65,69,350,female
group D,some high school,free/reduced,none,67,84,84,904,female
group C,associate's degree,standard,completed,51,60,58,536,male
group D,some college,standard,none,79,73,67,344,male
group A,high school,standard,none,63,63,62,994,male
group D,associate's degree,free/reduced,none,52,59,56,481,female
group A,associate's degree,free/reduced,completed,40,55,53,575,male
group D,some college,standard,none,40,42,38,33,male
group B,some college,standard,none,63,65,61,31,female
group C,associate's degree,standard,none,46,43,42,231,male
group C,some high school,free/reduced,completed,65,76,75,963,female
group B,some high school,standard,none,62,64,66,192,female
group B,associate's degree,standard,none,90,78,81,333,male
group A,associate's degree,free/reduced,none,47,57,44,3,male
group C,some college,standard,none,59,41,42,204,male
group B,master's degree,free/reduced,completed,77,97,94,514,female
group C,associate's degree,standard,none,52,55,57,799,female
group E,some college,standard,completed,99,87,81,306,male
group B,some high school,standard,none,70,64,72,109,female
group C,associate's degree,free/reduced,none,64,66,59,430,male
group A,bachelor's degree,standard,completed,80,78,81,77,male
group D,high school,free/reduced,none,42,39,34,84,male
group E,associate's degree,standard,completed,97,82,88,286,male
group A,some college,free/reduced,completed,50,47,54,82,male
group B,some high school,standard,completed,65,82,78,991,female
group C,master's degree,free/reduced,none,52,65,61,789,female
group E,associate's degree,standard,none,59,62,69,894,female
group B,some high school,standard,none,74,63,57,398,male
group C,some high school,free/reduced,none,43,53,53,323,female
group B,high school,free/reduced,completed,67,78,79,519,female
group E,bachelor's degree,standard,completed,100,100,100,916,male
group D,high school,standard,none,72,66,66,922,male
group B,associate's degree,standard,none,71,83,78,5,female
group A,some high school,free/reduced,none,55,46,43,731,male
group C,some college,standard,none,84,87,91,465,female
group E,some college,standard,completed,63,72,70,97,female
group C,bachelor's degree,standard,none,63,75,81,266,female
group C,some college,free/reduced,completed,42,66,69,357,female
group E,associate's degree,free/reduced,completed,78,74,72,868,male
group E,some college,standard,none,69,60,54,798,male
group B,associate's degree,standard,none,80,86,83,380,female
group B,high school,standard,none,79,60,65,631,male
group C,associate's degree,standard,completed,87,100,95,381,male
group A,associate's degree,free/reduced,none,65,85,76,490,female
group D,some high school,standard,none,51,63,61,118,female
group D,master's degree,standard,none,85,84,89,900,male
group A,some high school,standard,completed,47,49,49,250,male
group C,master's degree,free/reduced,none,54,59,50,523,male
group B,high school,free/reduced,none,38,60,50,9,female
group C,some high school,free/reduced,completed,59,69,65,196,male
group D,high school,free/reduced,none,60,57,51,603,male
group B,high school,free/reduced,none,49,45,45,81,male
group C,associate's degree,standard,completed,52,59,62,783,female
group C,bachelor's degree,free/reduced,none,44,63,62,587,female
group E,associate's degree,free/reduced,none,70,84,81,797,female
group C,associate's degree,standard,none,84,80,80,239,male
group C,associate's degree,standard,none,76,70,68,290,male
group C,some college,free/reduced,none,35,28,27,211,male
group C,associate's degree,standard,completed,96,96,99,717,female
group D,some college,standard,none,80,90,89,359,female
group B,associate's degree,standard,none,81,73,72,449,male
group D,high school,standard,none,57,50,54,227,male
group E,high school,standard,none,94,73,71,950,male
group B,high school,standard,none,82,82,80,946,male
group D,high school,standard,none,70,70,70,796,male
group B,associate's degree,standard,completed,94,87,92,501,female
group A,bachelor's degree,standard,completed,75,58,62,464,male
group C,some college,standard,none,52,58,58,362,female
group A,high school,free/reduced,completed,77,88,85,468,female
group D,some college,free/reduced,none,70,63,58,935,male
group A,some high school,free/reduced,none,65,59,53,428,male
group B,some college,free/reduced,none,40,43,39,7,male
group C,some college,standard,completed,70,89,88,155,female
group D,associate's degree,free/reduced,completed,79,82,80,541,male
group C,some college,standard,completed,67,81,79,440,female
group C,some college,free/reduced,none,68,68,61,482,male
group D,master's degree,free/reduced,completed,47,58,67,422,female
group A,some college,standard,completed,72,79,82,778,female
group E,high school,free/reduced,completed,57,75,73,949,female
group C,bachelor's degree,standard,none,83,93,95,334,female
group A,some college,standard,completed,61,51,52,576,male
group C,associate's degree,standard,completed,98,87,90,934,male
group D,master's degree,free/reduced,completed,61,71,78,567,female
group C,bachelor's degree,standard,completed,92,100,99,594,female
group C,associate's degree,standard,completed,68,67,73,530,female
group E,some high school,standard,none,77,79,80,581,female
group C,some college,standard,none,66,59,52,707,male
group B,high school,standard,none,47,46,42,448,male
group C,some college,free/reduced,none,65,58,49,453,male
group A,some high school,free/reduced,none,68,72,64,228,male
group C,some college,standard,completed,63,78,80,352,female
group D,high school,free/reduced,none,73,92,84,728,female
group C,high school,free/reduced,none,42,62,60,212,female
group E,master's degree,standard,none,62,68,68,79,female
group D,bachelor's degree,standard,completed,68,75,81,148,female
group C,associate's degree,standard,completed,67,84,81,302,female
group D,some college,free/reduced,none,49,57,46,628,male
group C,some college,free/reduced,none,35,44,43,777,female
group A,high school,standard,none,68,70,66,506,male
group B,high school,standard,completed,69,76,74,342,female
group C,high school,standard,none,70,74,71,485,male
group E,some high school,standard,completed,80,85,85,711,female
group C,some college,standard,completed,75,81,84,133,female
group D,some college,standard,none,63,64,67,703,female
group B,bachelor's degree,standard,none,66,60,57,311,male
group B,some high school,free/reduced,completed,74,90,88,722,female
group C,some high school,standard,completed,44,51,55,629,female
group B,bachelor's degree,standard,none,72,72,74,0,female
group D,master's degree,standard,completed,77,82,91,316,female
group D,high school,standard,none,46,34,36,706,male
group C,high school,standard,completed,72,67,64,547,male
group B,associate's degree,standard,completed,82,84,78,872,male
group E,associate's degree,standard,completed,62,61,58,532,male
group D,associate's degree,standard,none,80,68,72,477,male
group C,high school,standard,none,54,59,62,404,female
group D,some college,standard,none,79,86,81,172,female
group B,high school,standard,none,87,95,86,125,female
group C,some high school,standard,completed,65,74,77,394,female
group C,associate's degree,free/reduced,completed,82,93,93,420,female
group B,associate's degree,standard,none,40,48,50,552,female
group D,bachelor's degree,free/reduced,completed,93,100,100,903,female
group C,bachelor's degree,standard,none,65,72,74,90,female
group D,some high school,standard,completed,77,68,69,939,male
group C,some college,free/reduced,none,46,64,66,181,female
group B,some college,standard,completed,88,85,76,274,male
group E,some high school,free/reduced,none,32,34,38,895,female
group C,associate's degree,standard,none,39,64,57,69,female
group D,some high school,standard,none,86,73,70,291,male
group C,some high school,free/reduced,completed,53,37,40,131,male
group A,some college,free/reduced,completed,81,78,81,300,male
group B,some college,free/reduced,none,41,39,34,424,male
group C,some college,standard,none,61,61,62,326,male
group D,some college,standard,none,88,73,78,144,male
group A,some high school,standard,completed,59,85,80,423,female
group D,some high school,standard,none,81,97,96,580,female
group C,bachelor's degree,standard,none,58,55,48,135,male
group C,some college,free/reduced,completed,64,85,85,450,female
group E,master's degree,standard,none,81,92,91,164,female
group C,high school,standard,none,70,70,65,28,male
group C,bachelor's degree,free/reduced,none,62,78,79,773,female
group D,some college,standard,completed,77,62,62,193,male
group D,high school,standard,none,62,64,64,388,female
group E,some college,standard,none,87,85,93,852,female
group C,some college,free/reduced,completed,67,75,70,169,female
group A,bachelor's degree,free/reduced,none,62,72,65,705,male
group D,some high school,standard,none,76,72,71,140,female
group C,associate's degree,standard,none,63,67,70,173,female
group B,some college,standard,completed,88,95,92,6,female
group D,associate's degree,standard,none,72,79,74,745,male
group D,master's degree,standard,none,55,64,70,478,female
group C,some high school,free/reduced,none,61,57,56,73,male
group D,bachelor's degree,free/reduced,none,50,42,48,910,male
group E,some high school,standard,completed,87,84,76,813,male
group B,some college,standard,none,54,52,51,238,male
group C,some college,free/reduced,none,22,39,33,145,female
group D,high school,free/reduced,none,66,74,69,792,male
group C,bachelor's degree,standard,completed,83,82,84,234,male
group D,high school,standard,completed,56,68,74,220,female
group B,associate's degree,free/reduced,none,54,65,65,923,female
group D,master's degree,standard,none,74,79,82,500,female
group E,some college,free/reduced,completed,87,74,70,132,male
group E,high school,free/reduced,completed,86,81,75,990,male
group B,some college,standard,none,66,65,60,774,male
group C,associate's degree,free/reduced,completed,65,67,65,185,male
group C,associate's degree,standard,none,58,73,68,41,female
group C,associate's degree,standard,completed,75,82,90,696,female
group B,associate's degree,free/reduced,none,52,76,70,108,female
group C,some college,standard,none,54,64,65,588,female
group E,associate's degree,standard,completed,82,85,86,56,female
group C,some high school,standard,none,63,73,68,405,female
group A,some high school,free/reduced,none,59,73,69,442,female
group E,bachelor's degree,free/reduced,completed,70,68,72,757,male
group C,high school,free/reduced,completed,59,71,65,997,female
group D,bachelor's degree,free/reduced,completed,74,71,80,24,male
group A,high school,free/reduced,completed,72,67,65,467,male
group A,associate's degree,standard,completed,97,92,86,539,male
group C,some high school,standard,none,47,54,53,531,female
group D,master's degree,standard,none,95,81,84,618,male
group C,some high school,standard,none,49,63,56,694,female
group E,associate's degree,free/reduced,none,64,56,52,926,male
group B,some high school,free/reduced,none,24,38,27,338,female
group E,associate's degree,free/reduced,completed,77,69,68,51,male
group B,bachelor's degree,free/reduced,none,55,59,54,507,male
group D,some college,standard,none,74,89,84,516,female
group D,high school,free/reduced,none,69,70,67,920,male
group B,master's degree,standard,none,77,90,84,781,female
group D,high school,standard,none,76,73,68,264,male
group D,bachelor's degree,free/reduced,completed,61,70,76,817,male
group C,some college,standard,completed,93,84,90,710,male
group B,high school,standard,none,62,55,54,682,male
group A,bachelor's degree,standard,none,64,60,58,832,male
group D,some high school,standard,completed,66,78,78,518,female
group C,high school,standard,completed,86,81,80,447,male
group C,master's degree,free/reduced,completed,46,42,46,18,male
group B,associate's degree,free/reduced,completed,76,94,87,715,female
group A,high school,standard,none,59,52,46,483,male
group B,high school,free/reduced,none,63,48,47,568,male
group A,some high school,free/reduced,none,47,59,50,433,female
group C,bachelor's degree,free/reduced,none,61,66,61,367,male
group E,associate's degree,standard,none,72,64,63,83,male
group A,some high school,free/reduced,none,39,39,34,61,male
group E,some college,standard,none,86,76,74,638,male
group D,associate's degree,free/reduced,none,47,53,58,272,female
group B,associate's degree,standard,completed,81,82,82,285,male
group B,high school,standard,none,58,62,59,360,female
group C,some college,standard,none,59,71,70,354,female
group D,bachelor's degree,standard,none,79,89,89,456,female
group C,some high school,free/reduced,none,65,86,80,278,female
group B,high school,standard,none,65,81,73,12,female
group E,high school,standard,none,50,50,47,182,female
group A,some high school,free/reduced,none,44,64,58,368,female
group E,bachelor's degree,standard,completed,71,70,70,881,female
group C,high school,standard,none,60,68,72,615,female
group D,some high school,standard,none,86,80,75,223,male
group C,some college,standard,none,53,62,56,572,female
group D,bachelor's degree,standard,none,89,100,100,970,female
group A,associate's degree,standard,completed,65,70,74,653,female
group E,some high school,free/reduced,completed,78,83,80,545,male
group D,bachelor's degree,free/reduced,none,63,73,78,582,female
group C,high school,standard,none,75,88,85,633,female
group B,high school,free/reduced,completed,46,54,58,176,female
group C,some high school,free/reduced,completed,50,60,60,665,female
group C,associate's degree,standard,completed,65,84,84,673,female
group C,associate's degree,standard,none,65,76,76,585,female
group E,associate's degree,free/reduced,none,90,90,82,873,male
group C,associate's degree,standard,completed,57,54,56,393,male
group C,high school,standard,none,52,53,49,163,male
group B,high school,standard,none,65,64,62,248,female
group D,some high school,standard,none,84,84,80,634,male
group C,associate's degree,standard,completed,62,76,80,885,female
group D,associate's degree,standard,completed,81,72,77,669,male
group E,associate's degree,free/reduced,none,46,43,41,375,male
group D,associate's degree,standard,none,71,66,60,412,male
group C,some high school,standard,none,49,49,41,74,male
group D,some college,standard,none,51,58,54,113,female
group D,high school,standard,none,69,77,73,598,female
group D,some high school,free/reduced,none,48,54,53,961,female
