id,area,rooms,location,price
1001,42,1,A,257000
1002,55,3,C,270000
1003,43,2,B,253000
1004,158,3,C,373000
1005,135,3,C,350000
1006,38,1,A,253000
1007,155,4,C,375000
1008,148,3,B,363000
1009,172,2,A,392000
1010,153,3,B,368000
1011,176,4,B,396000
1012,97,4,C,317000
1013,106,3,B,321000
1014,178,5,A,413000
1015,93,4,C,313000
1016,86,1,A,301000
1017,48,2,A,268000
1018,108,3,B,323000
1019,162,3,B,377000
1020,93,4,A,323000
1021,70,4,B,290000
1022,167,3,C,382000
1023,76,5,C,301000
1024,151,4,A,381000
1025,100,4,B,320000
1026,95,5,B,320000
1027,156,2,C,366000
1028,177,3,C,392000
1029,119,4,B,339000
1030,199,5,B,424000
1031,118,5,C,343000
1032,70,4,A,300000
1033,165,5,C,390000
1034,199,2,C,409000
1035,99,5,C,324000
1036,154,5,B,379000
1037,107,1,C,312000
1038,73,1,B,278000
1039,32,4,A,262000
1040,83,1,A,298000
1041,192,3,C,407000
1042,148,1,A,363000
1043,145,2,B,355000
1044,49,1,C,254000
1045,64,5,A,299000
1046,187,1,B,392000
1047,122,4,C,342000
1048,82,1,B,287000
1049,57,3,C,272000
1050,98,5,B,323000
1051,159,2,C,369000
1052,112,1,A,327000
1053,188,5,B,413000
1054,44,5,B,269000
1055,82,2,C,292000
1056,85,2,A,305000
1057,97,4,A,327000
1058,88,5,A,323000
1059,93,3,B,308000
1060,191,3,A,416000
1061,158,1,B,363000
1062,86,4,B,306000
1063,70,4,A,300000
1064,147,5,B,372000
1065,60,1,C,265000
1066,76,3,B,291000
1067,123,2,C,333000
1068,127,4,C,347000
1069,157,4,C,377000
1070,116,4,C,336000
1071,106,3,A,331000
1072,59,4,B,279000
1073,47,5,C,272000
1074,168,2,B,378000
1075,157,4,C,377000
1076,46,5,C,271000
1077,126,5,C,351000
1078,60,3,B,275000
1079,48,4,B,268000
1080,136,2,C,346000
1081,98,1,B,303000
1082,172,1,B,377000
1083,141,3,C,356000
1084,51,4,C,271000
1085,166,3,A,391000
1086,37,4,A,267000
1087,167,4,B,387000
1088,44,5,C,269000
1089,58,2,B,268000
1090,47,3,B,262000
1091,119,2,B,329000
1092,122,5,B,347000
1093,102,1,C,307000
1094,198,5,B,423000
1095,99,2,C,309000
1096,181,3,B,396000
1097,110,2,C,320000
1098,133,1,C,338000
1099,89,2,B,299000
1100,68,1,C,273000
1101,150,1,A,365000
1102,109,2,A,329000
1103,151,4,C,371000
1104,53,3,C,268000
1105,53,5,B,278000
1106,81,1,C,286000
1107,189,5,C,414000
1108,136,4,B,356000
1109,147,4,A,377000
1110,76,1,C,281000
1111,70,5,C,295000
1112,111,5,C,336000
1113,174,2,B,384000
1114,31,4,A,261000
1115,91,3,A,316000
1116,52,2,A,272000
1117,187,1,A,402000
1118,34,3,B,249000
1119,49,2,C,259000
1120,156,1,A,371000
1121,51,5,A,286000
1122,190,4,B,410000
1123,60,4,C,280000
1124,68,5,B,293000
1125,130,2,A,350000
1126,40,5,C,265000
1127,80,3,C,295000
1128,57,4,B,277000
1129,128,3,B,343000
1130,53,5,A,288000
1131,166,1,C,371000
1132,189,3,A,414000
1133,90,5,B,315000
1134,107,3,C,322000
1135,182,4,C,402000
1136,174,2,C,384000
1137,147,3,A,372000
1138,165,4,B,385000
1139,172,3,B,387000
1140,197,3,B,412000
1141,178,4,B,398000
1142,151,4,A,381000
1143,64,1,C,269000
1144,98,4,C,318000
1145,89,5,C,314000
1146,67,3,B,282000
1147,55,1,C,260000
1148,164,5,B,389000
1149,67,4,C,287000
1150,188,2,C,398000
1151,40,3,B,255000
1152,168,2,A,388000
1153,84,4,C,304000
1154,81,5,A,316000
1155,146,2,C,356000
1156,67,5,B,292000
1157,61,2,A,281000
1158,118,3,B,333000
1159,66,4,C,286000
1160,172,2,A,392000
1161,53,1,B,258000
1162,153,3,A,378000
1163,184,3,A,409000
1164,130,4,B,350000
1165,186,1,B,391000
1166,42,2,B,252000
1167,45,5,A,280000
1168,154,2,C,364000
1169,94,1,B,299000
1170,152,1,C,357000
1171,117,3,A,342000
1172,140,4,B,360000
1173,56,3,B,271000
1174,99,3,B,314000
1175,93,1,C,298000
1176,82,1,B,287000
1177,134,4,A,364000
1178,124,4,B,344000
1179,169,2,A,389000
1180,187,1,B,392000
1181,78,5,B,303000
1182,121,2,A,341000
1183,158,3,B,373000
1184,110,1,C,315000
1185,62,4,A,292000
1186,189,1,C,394000
1187,87,4,A,317000
1188,76,2,A,296000
1189,168,3,A,393000
1190,108,3,C,323000
1191,170,5,A,405000
1192,145,5,C,370000
1193,181,4,B,401000
1194,45,4,B,265000
1195,58,4,B,278000
1196,49,4,C,269000
1197,64,4,A,294000
1198,84,4,B,304000
1199,156,5,A,391000
1200,125,2,A,345000
1201,44,2,B,254000
1202,86,4,B,306000
1203,51,5,A,286000
1204,185,2,B,395000
1205,200,4,A,430000
1206,183,2,C,393000
1207,40,1,A,255000
1208,180,5,B,405000
1209,56,2,B,266000
1210,88,5,C,313000
1211,102,5,B,327000
1212,37,4,A,267000
1213,82,1,B,287000
1214,197,4,A,427000
1215,193,3,C,408000
1216,65,1,A,280000
1217,176,2,A,396000
1218,121,4,B,341000
1219,39,1,A,254000
1220,79,3,B,294000
1221,56,4,A,286000
1222,90,2,B,300000
1223,142,4,A,372000
1224,66,4,A,296000
1225,188,2,C,398000
1226,121,1,A,336000
1227,90,4,A,320000
1228,163,4,C,383000
1229,30,1,C,235000
1230,146,4,C,366000
1231,194,1,A,409000
1232,124,2,B,334000
1233,174,4,C,394000
1234,160,1,B,365000
1235,191,1,B,396000
1236,185,1,A,400000
1237,38,1,A,253000
1238,149,3,B,364000
1239,134,5,B,359000
1240,154,4,A,384000
1241,79,5,C,304000
1242,130,3,B,345000
1243,101,2,A,321000
1244,104,2,A,324000
1245,32,5,B,257000
1246,129,1,C,334000
1247,35,4,B,255000
1248,70,2,C,280000
1249,143,1,C,348000
1250,122,3,B,337000
1251,190,2,B,400000
1252,146,2,A,366000
1253,138,3,C,353000
1254,194,1,A,409000
1255,72,2,A,292000
1256,176,4,A,406000
1257,186,1,A,401000
1258,116,2,A,336000
1259,55,2,A,275000
1260,197,5,C,422000
1261,98,2,A,318000
1262,194,1,C,399000
1263,99,2,A,319000
1264,68,5,A,303000
1265,82,5,C,307000
1266,92,5,B,317000
1267,53,2,A,273000
1268,30,1,A,245000
1269,73,1,A,288000
1270,139,3,C,354000
1271,104,3,C,319000
1272,38,4,A,268000
1273,138,2,B,348000
1274,192,5,C,417000
1275,47,1,A,262000
1276,69,4,A,299000
1277,74,4,A,304000
1278,81,1,C,286000
1279,185,4,B,405000
1280,187,1,C,392000
1281,193,4,A,423000
1282,169,2,B,379000
1283,91,5,A,326000
1284,131,4,A,361000
1285,198,5,A,433000
1286,40,3,C,255000
1287,77,1,A,292000
1288,85,5,C,310000
1289,85,3,C,300000
1290,77,5,A,312000
1291,61,2,C,271000
1292,181,2,B,391000
1293,105,1,B,310000
1294,154,3,C,369000
1295,55,1,A,270000
1296,97,1,A,312000
1297,53,3,C,268000
1298,86,3,C,301000
1299,69,4,A,299000
1300,98,5,C,323000
1301,36,1,A,251000
1302,142,3,C,357000
